WARNING: Logging before InitGoogleLogging() is written to STDERR
I20250629 14:43:54.425745 1572790 Sta.cc:377] read verilog file .././output_synth_V4/accelerator-893MHz/accelerator.netlist.fixed.v start
I20250629 14:43:54.425829 1572790 VerilogParserRustC.cc:41] load verilog file .././output_synth_V4/accelerator-893MHz/accelerator.netlist.fixed.v
r str .././output_synth_V4/accelerator-893MHz/accelerator.netlist.fixed.v
I20250629 14:43:55.915025 1572790 Sta.cc:385] read verilog end
I20250629 14:43:55.915102 1572790 Sta.cc:303] load lib start
I20250629 14:43:55.916460 1573715 Sta.cc:281] read liberty /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib start 
I20250629 14:43:55.916955 1573715 LibParserRustC.cc:1285] load liberty file /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib
rust read lib file /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib
I20250629 14:43:56.396934 1573715 LibParserRustC.cc:1294] load liberty file /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib success.
I20250629 14:43:56.396975 1573715 Sta.cc:291] read liberty /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib end 
I20250629 14:43:56.397114 1572790 Sta.cc:322] load lib end
I20250629 14:43:56.397145 1572790 Sta.cc:411] link design accelerator start
I20250629 14:43:56.461028 1573756 LibParserRustC.cc:1304] link liberty file /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib start.
I20250629 14:43:56.462898 1573756 LibParserRustC.cc:666] unkown attri name: technology in /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib line no 45
I20250629 14:43:57.535430 1573756 LibParserRustC.cc:1310] link liberty file /data/stu25/s2300012738/lab8/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib success.
I20250629 14:44:00.252260 1572790 Sta.cc:792] assign busyb = comp_enb
I20250629 14:44:00.252310 1572790 Sta.cc:792] assign done = comp_enb
I20250629 14:44:00.252318 1572790 Sta.cc:792] assign \imem_addr[0] = comp_enb
I20250629 14:44:00.252326 1572790 Sta.cc:792] assign \imem_addr[18] = comp_enb
I20250629 14:44:00.252331 1572790 Sta.cc:792] assign \imem_addr[1] = comp_enb
I20250629 14:44:00.252336 1572790 Sta.cc:792] assign \imem_addr[22] = \imem_addr[21]
